Subject,Institution,Course Name,Course Url,Duration,Provider
Programming Courses,University of Michigan,Using Python to Access Web Data,https://classcentral.com/course/python-network-data-4343,"19 hours worth of material,6 weeks long",Coursera
Programming Courses,Rice University,An Introduction to Interactive Programming in Python (Part 1),https://classcentral.com/course/interactivepython1-408,"7-10 hours a week,5 weeks long",Coursera
Data Science Courses,Johns Hopkins University,Developing Data Products,https://classcentral.com/course/devdataprod-1720,"4-9 hours a week,4 weeks long",Coursera
Data Science Courses,"University of California, San Diego",Finding Hidden Messages in DNA (Bioinformatics I),https://classcentral.com/course/hiddenmessages-3289,"4-10 hours a week,5 weeks long",Coursera
Data Science Courses,Cloudera,Intro to Hadoop and MapReduce,https://classcentral.com/course/udacity-intro-to-hadoop-and-mapreduce-1470,4 weeks long,Udacity
Computer Science Courses,University of Helsinki,Elements of AI,https://classcentral.com/course/independent-elements-of-ai-12469,"5-10 hours a week,6 weeks long",Independent
Programming Courses,University of Michigan,Using Databases with Python,https://classcentral.com/course/python-databases-4272,"14 hours worth of material,5 weeks long",Coursera
Programming Courses,University of Michigan,Python for Everybody,https://classcentral.com/course/python-18625,"3 hours a week,35 weeks long",Coursera
Programming Courses,Vanderbilt University,Introduction to Programming with MATLAB,https://classcentral.com/course/matlab-3396,"4-6 hours a week,9 weeks long",Coursera
Data Science Courses,Microsoft,Introduction to Python for Data Science,https://classcentral.com/course/edx-introduction-to-python-for-data-science-5683,"2-4 hours a week,6 weeks long",edX
Data Science Courses,Harvard University,Statistics and R,https://classcentral.com/course/edx-statistics-and-r-2960,"2-4 hours a week,4 weeks long",edX
Computer Science Courses,Stanford University,Machine Learning,https://classcentral.com/course/machine-learning-835,"5-7 hours a week,11 weeks long",Coursera
Computer Science Courses,Tel Aviv University,Unlocking Information Security I: From Cryptography to Buffer Overflows,https://classcentral.com/course/edx-unlocking-information-security-part-i-16964,"4-6 hours a week,5 weeks long",edX
Computer Science Courses,UGC,Cyber Security,https://classcentral.com/course/swayam-cyber-security-13978,15 weeks long,Swayam
Programming Courses,The Hong Kong University of Science and Technology,Python and Statistics for Financial Analysis,https://classcentral.com/course/python-statistics-financial-analysis-12648,"3-4 hours a week,4 weeks long",Coursera
Programming Courses,Banaras Hindu University,ANIMATIONs,https://classcentral.com/course/swayam-animations-13880,15 weeks long,Swayam
Programming Courses,Georgia Institute of Technology,Computing in Python I: Fundamentals and Procedural Programming,https://classcentral.com/course/edx-computing-in-python-i-fundamentals-and-procedural-programming-11469,"9-10 hours a week,5 weeks long",edX
Programming Courses,University of Toronto,Learn to Program: The Fundamentals,https://classcentral.com/course/programming1-385,"6-8 hours a week,7 weeks long",Coursera
Data Science Courses,Universitat Politècnica de València,Aprendizaje automático y ciencia de datos,https://classcentral.com/course/edx-aprendizaje-automatico-y-ciencia-de-datos-12250,"4-5 hours a week,5 weeks long",edX
Computer Science Courses,The Hong Kong University of Science and Technology,"Information Systems Auditing, Controls and Assurance",https://classcentral.com/course/information-systems-audit-17979,"2 hours a week,4 weeks long",Coursera
Computer Science Courses,Massachusetts Institute of Technology,Introduction to Computer Science and Programming Using Python,https://classcentral.com/course/edx-introduction-to-computer-science-and-programming-using-python-1341,"14-16 hours a week,9 weeks long",edX
Programming Courses,Universitat Politècnica de València,Python: Aprender a programar,https://classcentral.com/course/edx-python-aprender-a-programar-20077,"3-4 hours a week,8 weeks long",edX
Programming Courses,Rice University,An Introduction to Interactive Programming in Python (Part 2),https://classcentral.com/course/interactivepython2-3196,"7-10 hours a week,4 weeks long",Coursera
Humanities Courses,UGC,Academic Writing,https://classcentral.com/course/swayam-academic-writing-13881,15 weeks long,Swayam
Data Science Courses,Columbia University,Statistical Thinking for Data Science and Analytics,https://classcentral.com/course/edx-statistical-thinking-for-data-science-and-analytics-4913,"7-10 hours a week,5 weeks long",edX
Data Science Courses,Facebook,Data Analysis with R,https://classcentral.com/course/udacity-data-analysis-with-r-1478,8 weeks long,Udacity
Data Science Courses,"University of California, San Diego",Big Data,https://classcentral.com/course/big-data-18552,"3 hours a week,35 weeks long",Coursera
Data Science Courses,Eindhoven University of Technology,Process Mining: Data science in Action,https://classcentral.com/course/procmin-2445,"4-6 hours a week,6 weeks long",Coursera
Computer Science Courses,Harvard University,CS50's Introduction to Computer Science,https://classcentral.com/course/edx-cs50-s-introduction-to-computer-science-442,"6-18 hours a week,12 weeks long",edX
Computer Science Courses,"Goldsmiths, University of London",Machine Learning for Musicians and Artists,https://classcentral.com/course/kadenze-machine-learning-for-musicians-and-artists-3768,7 weeks long,Kadenze
Programming Courses,Georgia Institute of Technology,Computing in Python IV: Objects & Algorithms,https://classcentral.com/course/edx-computing-in-python-iv-objects-algorithms-11472,"9-10 hours a week,5 weeks long",edX
Humanities Courses,British Council,English for the Workplace,https://classcentral.com/course/workplace-english-6911,"2 hours a week,4 weeks long",FutureLearn
Humanities Courses,British Council,Exploring English: Language and Culture,https://classcentral.com/course/explore-english-language-culture-2135,"2 hours a week,6 weeks long",FutureLearn
Humanities Courses,Indian School of Business,A Life of Happiness and Fulfillment,https://classcentral.com/course/happiness-2860,"2-3 hours a week,6 weeks long",Coursera
Humanities Courses,British Council,Exploring English: Shakespeare,https://classcentral.com/course/explore-english-shakespeare-4847,"2 hours a week,6 weeks long",FutureLearn
Data Science Courses,Johns Hopkins University,Building a Data Science Team,https://classcentral.com/course/build-data-science-team-4391,"6 hours worth of material,1 weeks long",Coursera
Data Science Courses,Universidad Anáhuac,Introducción a la Ciencia de Datos con Python,https://classcentral.com/course/edx-introduccion-a-la-ciencia-de-datos-con-python-21169,"6-8 hours a week,4 weeks long",edX
Computer Science Courses,Stanford University,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",https://classcentral.com/course/algorithms-divide-conquer-374,4 weeks long,Coursera
Computer Science Courses,École Polytechnique Fédérale de Lausanne,Functional Programming Principles in Scala,https://classcentral.com/course/progfun-422,"5-7 hours a week,6 weeks long",Coursera
Humanities Courses,The University of Sheffield,How to Succeed at: Writing Applications,https://classcentral.com/course/writing-applications-2248,"3 hours a week,3 weeks long",FutureLearn
Humanities Courses,Universitat Politècnica de València,Basic Spanish 1: Getting Started,https://classcentral.com/course/edx-basic-spanish-1-getting-started-3698,"4-5 hours a week,7 weeks long",edX
Data Science Courses,University System of Maryland,Data Science and Agile Systems Engineering,https://classcentral.com/course/edx-data-science-and-agile-systems-engineering-19101,"2-3 hours a week,4 weeks long",edX
Data Science Courses,University of Illinois at Urbana-Champaign,Text Mining and Analytics,https://classcentral.com/course/textanalytics-2736,"5-10 hours a week,6 weeks long",Coursera
Mathematics Courses,The Hong Kong University of Science and Technology,Matrix Algebra for Engineers,https://classcentral.com/course/matrix-algebra-engineers-11986,"3-4 hours a week,4 weeks long",Coursera
Computer Science Courses,IGNOU,Introduction to Cyber Security,https://classcentral.com/course/swayam-introduction-to-cyber-security-14116,12 weeks long,Swayam
Computer Science Courses,Princeton University,"Algorithms, Part I",https://classcentral.com/course/algs4partI-339,"6-12 hours a week,6 weeks long",Coursera
Computer Science Courses,Stanford University,Cryptography I,https://classcentral.com/course/crypto-616,"5-7 hours a week,7 weeks long",Coursera
Computer Science Courses,University of Leeds,Transport Systems: Global Issues and Future Innovations,https://classcentral.com/course/transport-systems-global-issues-and-future-innova-12705,"4 hours a week,2 weeks long",FutureLearn
